Nama Produk;Harga;Kategori_Harga;Urutan
Kopi Arabika Aceh Gayo - Roasted Bean - 200 Gram - COARSE;46000;<50000;1
Kopi Bubuk Kapal Tanker Old - 780 Gr;48000;<50000;1
Kopi Toraja Robusta 200g Murah untuk kopi hitam atau kopi susu - BIJI SANGRAI;27200;<50000;1
Kopi Bubuk Murni Kopi Tubruk Robusta KUDA HITAM Asli Jawa Timur 1kg;34900;<50000;1
Kopi Robusta Flores Bajawa Coffee Bean Espresso Roast Beans Biji Bubuk;29900;<50000;1
Toraja Sapan Arabica Grade 1 Biji Kopi Roasted Beans;46000;<50000;1
Robusta Dampit Biji Kopi Roasted Beans;38000;<50000;1
BIJI KOPI ROBUSTA GAYO 250 gram;30000;<50000;1
Kopi bubuk asli arabika robusta - 200,  Campur;35000;<50000;1
Kopi Robusta Sidikalang - Roasted Bean - 200 Gram - WHOLE BEAN;28500;<50000;1
haldinfoods Biji Kopi Roasted Fine Robusta Coffee Bean - 250 gram;30000;<50000;1
Kopi Lanang Robusta Pagar Alam Peaberry Coffe Bean Espresso Biji 100gr - Biji Kopi;34900;<50000;1
Kopi Robusta Lampung/KOPi WAW/ Kopi Kesehatan/Kopi Nikmat Tanpa Gula;40000;<50000;1
Kopi Biji Sangrai / Roast Bean Robusta Lanang (250gr) - Halus Serbuk;31000;<50000;1
Kopi Robusta Sidikalang - Roasted Bean - 200 Gram;28500;<50000;1
Sumatera Lintong Arabica Grade 1 Biji Kopi Roasted Beans;46000;<50000;1
Biji Kopi Bubuk Arabika Gayo Aceh Sumatera Arabica Coffee Roast Bean;42999;<50000;1
Kopi Susu Blend Arabica 20% Robusta 80% Roasted Coffee Beans Biji;34000;<50000;1
Javarover Full Robusta Coffee - Temanggung Rawaseneng - Beans,  250 gram;45000;<50000;1
BIJI KOPI ROBUSTA GAYO 250 gram - Bubuk kasar;30000;<50000;1
Ka.Mu kopi Robusta Pagar Alam - Plastik bening,  90 gram;6000;<50000;1
WoCA Kopi Bali Robusta Lanang Peaberry 150 gram;17999;<50000;1
Biji Kopi Bubuk Robusta Flores Coffee Roast Beans Sakha Roastery 250Gr;39900;<50000;1
Kopi Robusta Toraja Mamasa Sulawesi Coffee Bean Espresso Roasted Beans;29900;<50000;1
Biji / Bubuk Es Kopi Susu Kekinian Klasik 200g, 75/25 Robusta,  MURAH - Whole Bean;43500;<50000;1
Kopi Arabika Gayo Wine Arabica Specialty Coffee Roast Beans 100 Gram;49900;<50000;1
Kopi Robusta Gayo Aceh Sumatra Coffee Beans Espresso Roast Biji Bubuk;29900;<50000;1
Kopi Robusta Bali Kintamani Coffee Espresso Roasted Beans Biji Bubuk;29900;<50000;1
kopi robusta temanggung 1kg / roast bean robusta 1kg;35000;<50000;1
Aceh Gayo Arabica Grade 1 Biji Kopi Roasted Beans;46000;<50000;1
Kopi Bubuk Robusta Pagaralam Premium (250gr);26000;<50000;1
Kopi Liberika Senduro Madrigal Coffee 250gr Pack Liberica Excelsa;47000;<50000;1
Roast Bean Kopi Liberika Artisan;25000;<50000;1
LIYBERUSKA DARK (liberika, robusta, arabica) KOPI BUBUK;15000;<50000;1
Kopi Liberco Liberika Sambas 200gr Kopi Bubuk Liber.co Coffee;39000;<50000;1
Drip Bag Coffee (Kopi Indonesia) - 5 Drip Bag;47500;<50000;1
Biji Kopi Liberika Nangka Wine Proses 1kg;50000;<50000;1
kopi Liberika Sumedang 250gr / Kopi Nangka;45000;<50000;1
Kopi Bubuk Arabika Aceh Gayo Takengon Kopi Hitam Arabica Coffee - 100gr,  Bubuk Halus;20000;<50000;1
250gr Kopi Bali Pupuan Tabanan Robusta. Kopi Biji / Bubuk Mutiara Bali;23900;<50000;1
Kopi Tubruk Bubuk Arabika Espresso Blend Coffee Sakha Roastery 100gr - Kopi Tubruk;19900;<50000;1
Kopi Liberika Natural Biji Kopi Matang atau Bubuk 200gram;40000;<50000;1
kopi liberika wongkae;15000;<50000;1
Kopi Bubuk Kapal Tanker New - 780 Gr - Bubuk Halus;33600;<50000;1
ARUTALA Kopi Italian Blend for Espresso Coffee 200 gram;49999;<50000;1
Kopi Arabika Yirgacheffe Ethiopia 100 Gr - Bean/Biji & Ground/Bubuk;46500;<50000;1
Kopi Nangka 200Gr atau Kopi Liberika Excelsa Produk Kopi Juara;30000;<50000;1
Kopi Liberika Bubuk Hitam Liberica Excelsa Cap AAA Nefo Jambi 100gram;16500;<50000;1
Kopi Bubuk Blend Robusta & Liberika 250gr | Kopi 100% Murni 250 gr;25000;<50000;1
Roasted Bean Premium Robusta Natural Tuang Coffee 250gr - Biji Kopi.;48827;<50000;1
ARUTALA Kopi Flores Robusta Coffee 250 gram;36999;<50000;1
Kopi Aroma Robusta Bandung 250 Gram;34400;<50000;1
Bali Kintamani Arabica Grade 1 Biji Kopi Roasted Beans;48000;<50000;1
Roasted Bean Premium Robusta Natural Tuang Coffee 250gr;48827;<50000;1
Nescafe Classic Sachet 2gr Lampung 1 pack isi 60pcs Kopi Murni Robusta;38500;<50000;1
Robusta Halus Kopi Aroma Bandung Original Koffie Fabriek Banceuy 51;33999;<50000;1
Gentlemen's Blend Espresso Arabica Biji Kopi Roasted Beans;49000;<50000;1
Excelso Kopi Sachet Robusta Gold;18500;<50000;1
kopi robusta temanggung 1kg / roast bean robusta 1kg - 500gr, BIJI;35000;<50000;1
Kopi Robusta Flores 200 gram 100% Robusta;29700;<50000;1
Biji Kopi Bubuk Fine Robusta Gayo Aceh Sumatra Coffee Roast Bean 250Gr;45999;<50000;1
Opal Coffee - Flores Robusta Roasted Beans 250g;42000;<50000;1
KOPI ROBUSTA 250gr USAHA KOPI TORAJA ASLI TANA TORAJA SULAWESI SELATAN;45000;<50000;1
Biji Kopi Bubuk Arabika Gayo Aceh Sumatera Arabica Coffee Roast Bean - 100 gram,  Bubuk Sedang;42999;<50000;1
Kopi Biji Sangrai 1 Kg ~ Black Coffee Robusta Lampung;50000;<50000;1
Biji Kopi 1kg Espresso Blend 70 arabika / 30 robusta;50000;<50000;1
ARUTALA kopi Bali Robusta 250 gram;36999;<50000;1
ARUTALA Kopi Flores Robusta Coffee 250 gram - Giling Halus;36999;<50000;1
(1 pcs) Kopi Kapal Api Bubuk Signature Arabica Robusta Ground 65 gr;10000;<50000;1
Kopi Robusta Malang Dampit Tirtoyudo - Biji;35000;<50000;1
Kopi Robusta Bubuk Cap 1001 ASLI Bengkulu 245gr;22750;<50000;1
WoCA Kopi Bali Robusta Lanang Peaberry 150 gram - Bean;17999;<50000;1
Drip Bag Coffee (Kopi Indonesia) - 5 Drip Bag;50000;<50000;1
Kopi bubuk robusta 100% | 500gr;25000;<50000;1
Kopi Cap Bis Kota (ROBUSTA) 250 Gr;22300;<50000;1
Kopi bubuk Robusta cap gentong kopi asli lampung murni 100%;14500;<50000;1
KOPI BUBUK ROBUSTA 1 KG - EKONOMIS, HARUM NIKMAT, PACKING RAPIH;35000;<50000;1
ARUTALA Kopi Toraja Rantebua Robusta Coffee Indonesia 250 gr;36999;<50000;1
Kopi Bubuk Lampung 1 Kg ~ Black Coffee Robusta Lampung;50000;<50000;1
Kopi Bubuk Kok Tong halus / kasar robusta koktong Siantar 500 gram;42500;<50000;1
ARUTALA Kopi Lampung Robusta Coffee 250 gram;36999;<50000;1
Excelso Robusta Gold - Bubuk Kopi 200 gr;31900;<50000;1
Ka.Mu kopi Robusta Pagar Alam;6000;<50000;1
Kopi cap singa robusta java 180 gr bubuk;16910;<50000;1
ARUTALA Kopi Robusta Gayo Coffee 250 gram;36999;<50000;1
Kopi Drip Robusta Mandailing dengan Filter Bag siap Seduh - DRIP TO GO;8000;<50000;1
Kopi Robusta Flores 200 gram 100% Robusta - Giling Halus;29700;<50000;1
Kopi Robusta Dampit Tirtoyudo Kualitas Pasar;22000;<50000;1
ARUTALA Kopi Vietnam Central Highland Robusta 250 gram;39999;<50000;1
Kopi Robusta Toraja Kalosi Sulawesi Coffee Roast Bean Biji Bubuk 250gr - Biji Kopi;39900;<50000;1
kopinoe. kopi murni100% kopi Liberika exelsa;50000;<50000;1
Biji Kopi Bubuk Arabika Flores Bajawa Arabica Coffee Omni Roast Beans - 100 gram,  Biji Kopi;42999;<50000;1
Kopi Jawa Temanggung 200 Gram (Biji Kopi Robusta - Espresso);31500;<50000;1
Kopi Robusta Sidikalang 200 gram 100% Robusta - Giling Halus;29700;<50000;1
Kopi Arabika Gayo Aceh Arabica Coffee Roast Bean 100g Biji Bubuk Coffe;44900;<50000;1
Kopi Jawa Temanggung 200 Gram (Biji Kopi Robusta - Espresso) - Whole Beans;31500;<50000;1
ARUTALA Kopi Toraja Rantebua Robusta Coffee Indonesia 250 gr - Giling Halus;36999;<50000;1
"Biji/Bubuk Kopi Temanggung Fine Bean 100 gram ""Italian Roast"" - Biji";19500;<50000;1
Kopi toraja robusta arabika Arabusta Gandangbatu Blend 200g - SUPER HALUS;36800;<50000;1
Kopi Biji Sangrai / Roast Bean Robusta Lanang (250gr);31000;<50000;1
KOPI BUBUK ROBUSTA AMING COFFEE AMENG COFFEE KOPI ASIANG PONTIANAK;38999;<50000;1
Drip Bag Coffee (Kopi Indonesia);50000;<50000;1
"Biji/Bubuk Kopi Temanggung Fine Bean 100 gram ""Italian Roast""";19500;<50000;1
KOPI BIJI SUMATRA ROBUSTA PREMIUM COFFEE BEANS 200 GR;46000;<50000;1
Kopi Arabika Aceh Gayo - Roasted Bean - 200 Gram;46000;<50000;1
Kopi Nescafe Classic 100gr refill kopi instan robusta 100 gram bag;33500;<50000;1
Kopi Bubuk Excelso Robusta Gold 200gr;31500;<50000;1
ROBUSTA JAVA IJEN RAUNG (BIJI KOPI PREMIUM) - 200 gram / Roasted Beans;34000;<50000;1
EXCELSO KOPI ROBUSTA BIJI 200GR;33900;<50000;1
Excelso Unakaffe Kopi Kapsul Robusta Gold (12 Kapsul @ 6 Gram);48000;<50000;1
EXCELSO KOPI ROBUSTA HALUS 200GR;33900;<50000;1
Kopi Robusta Malang Dampit Tirtoyudo - Bubuk;35000;<50000;1
Excelso Robusta Gold - Biji Kopi 200 gr;31900;<50000;1
ARUTALA Kopi Robusta Gold 200 gram;34999;<50000;1
Awi Coffee Kopi Robusta Sidikalang Premium 250 gr | Robusta| Roasted;34650;<50000;1
Kopi Arabica Gayo Wine aceh biji bubuk origin roast Coffee - 200gr - 100 gram,  bean/ biji;49400;<50000;1
Kopi Bis Kota 250gr ( ROBUSTA ) / Kopi Wong Hin ASLI Jatinegara;22300;<50000;1
Biji Kopi Robusta Lampung 1KG;25000;<50000;1
Kopi Jawa Temanggung 200 Gram (Biji Kopi Robusta - Espresso) - Whole Beans;31500;<50000;1
Kopi Bubuk | Exelso Kopi Robusta Gold Coffee 200 gr;35500;<50000;1
Excelso Kopi Premium - Robusta Gold Kemasan Sachet - 10 x 10 gr;18500;<50000;1
KOPI LIBERIKA WINE BUBUK CIBUNAR KUNINGAN;30000;<50000;1
Biji Kopi 1kg FINE ROBUSTA whole bean coffee bahan es kopi susu grosir;25000;<50000;1
Jamoca Signature 70%Arabica : 30%Robusta 200g Coffee Beans Biji Kopi;37500;<50000;1
Kopi Aroma Mocca Arabika Bandung;45888;<50000;1
Kenal Coffee Djawa Blend Kopi 60% Arabika 40% Robusta 250 Gr;41800;<50000;1
Drip Bag Coffee Arabica Gayo Wine Kopi Arabika Asli Murni Siap Seduh;10900;<50000;1
Kopi Sachet Celup Arabika Arabica Coffee Saset Asli Murni Tanpa Ampas;9900;<50000;1
KOPI TUBRUK ARABIKA BY TANAMERA COFFEE;39900;<50000;1
KOPI AROMA BANDUNG - ARABIKA / ROBUSTA FRESH ASLI - Bubuk / Biji 250gr;33500;<50000;1
KOPI AROMA MOKA ARABIKA 250gr;47000;<50000;1
EXCELSO Java Arabica - Biji Kopi 200 gr;50000;<50000;1
Biji Kopi 100% Full Arabica Mandheling Roasted Commercial - ESPRESSO;40000;<50000;1
Kopi Arabica Toraja biji bubuk origin roasted SEMEKAR Coffee - 200 gr;39560;<50000;1
Kopi Arabica Mandheling 200 Gram (Biji/Bubuk) | Worcas Coffee;47500;<50000;1
Kopi Arabica Aceh Gayo 200 gram - Biji, 100gr;23000;<50000;1
Biji Kopi Arabika Single Origin Gayo Wine;42500;<50000;1
Kopi Arabika Gayo Espresso Base 200g;50000;<50000;1
Kopi Arabika Import 100 Gram Single Origin - Bean/Biji & Ground/Bubuk;46000;<50000;1
Kopi Mokka Arabika Koffie Fabriek Aroma Bandoeng 250 gram;47000;<50000;1
Excelso Kopi Robusta Gold Biji 200G;33500;<50000;1
Biji Kopi Specialty Arabica Toraja Sapan 200 gram - Biji, 100gr;35000;<50000;1
ROBUSTA LAMPUNG kopi fine robusta premium biji bubuk MURRELL COFFEE;40000;<50000;1
Giling Kasar Kopi Aroma Bandung Mokka Arabika 250 gr;39500;<50000;1
Biji Kopi 1kg 100% arabica whole bean coffee es kopi susu grosir bahan;35000;<50000;1
Kopi Aroma Javaco Bandung//Robusta/Arabika;36500;<50000;1
Bubuk Kopi Vietnam blend 250gr robusta arabika biji / bubuk Special;38999;<50000;1
Kopi Blend Arabika Robusta - Ketje Ndeso Blend 100 Gr;20000;<50000;1
Excelso Robusta Gold Biji Kopi 200 Gram;29230;<50000;1
BIJI KOPI 250 GR 100 % ARABICA espresso blend es kopi susu;50000;<50000;1
Biji kopi sangrai fine robusta gayo - natural proses - 100 gram;10000;<50000;1
Robeans Self Drip Coffee | Kopi Tetes Arabika Robusta Flores | 13 g;9000;<50000;1
kopi drip bag paket 5 pcs arabika dan blend;40000;<50000;1
PAK KOS (Coffee Blend) / PREMIUM ARABIKA KHUSUS KOPI SUSU;36500;<50000;1
kopi arabika korea atomi 3in1;2100;<50000;1
Excelso Arabica Gold - Biji Kopi 200 gr;46200;<50000;1
Drip Bag Coffee Bundling Kopi Bubuk Arabika Asli Murni Siap Seduh;14900;<50000;1
Kopi Aroma Bandung 250 Gram Mix Arabika Robusta;41000;<50000;1
Excelso ARABIKA Gold 200 Gr - BIJI KOPI ( BEAN );50000;<50000;1
Kopi Aroma Mokka Arabika;47900;<50000;1
Kopi Sachet Celup Arabika Gayo Wine Arabica Coffee Murni Tanpa Ampas;10900;<50000;1
Kopi House Blend 73 1KG - Biji, 100gr;18000;<50000;1
Biji Kopi 1kg 50/50 whole bean coffee es kopi susu grosir blend;30000;<50000;1
Biji Kopi Fine Robusta Dampit Malang 1Kg By Kieta Coffee;25000;<50000;1
Kios Blend 30 Arabika 70 Robusta Kopi Susu Espresso Biji / Bubuk 250g;35000;<50000;1
Kopi Arabika Kilimanjaro Tanzania 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;<50000;1
Kopi Liberika original 100gr;25000;<50000;1
Kopi Arabika Mysore India 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;<50000;1
BIJI KOPI LIBERIKA LAMPUNG GRADE 1;40000;<50000;1
KAPAL API Special Silver 380 gr;24700;<50000;1
Kepala Djenggot Coffee Bag Kopi Celup Extra Strong 70 gr;20000;<50000;1
Kopi arabika Drip bag coffee 10 gr - ( pilih 3 origin );28000;<50000;1
KOPI EXCELSA LIBERIKA TEMANGGUNG;20000;<50000;1
Kopi Bubuk Kapal Tanker Old - 780 Gr;33600;<50000;1
Kopi Arabika Yirgacheffe Ethiopia 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;<50000;1
Kopi Liberika Kopi Bedhag Djemberan 100 Gram;22900;<50000;1
Biji Kopi Liberika/Nangka 500gr;30000;<50000;1
Sumatera Lintong Arabica Grade 1 Biji Kopi Roasted Beans - GILING HALUS, 100 gram;46000;<50000;1
Kopi Arabika Toraja Sapan (Bubuk & Biji ) 100 Gr - Medium Dark,  Bubuk Kasar;35000;<50000;1
Teryco Roasters Ageng Rejeki - Biji Kopi Houseblend Full Robusta Kopsu - 200 Gr;28000;<50000;1
Biji Kopi Bubuk Arabika Flores Bajawa Arabica Coffee Omni Roast Beans;42999;<50000;1
Kopi Arabika Da Torres Brazil 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;<50000;1
Kopi Aroma Mocca Arabika Bandung;50000;<50000;1
Kopi Luwak Plus Gula Tebu Black Coffee Bag 10x25gr Twin Pack;21780;<50000;1
Kopi Luwak Murni Black Coffee Bag 140gr + 140gr - 3 Pcs;39750;<50000;1
Biji Kopi Bubuk Arabika Papua Wamena Arabica Coffee Beans Roasted Bean - 100 Gram, Biji Kopi;42999;<50000;1
Biji Kopi Bubuk Robusta Sidikalang Asli Coffee Beans Espresso 250gr;39900;<50000;1
Kopi Liberika Lampung 250gr;35000;<50000;1
Kopi Bubuk Kapal Tanker New - 780 Gr;33600;<50000;1
KAPAL API Special Silver 2 X 380 gr;40000;<50000;1
Kopi Bubuk Robusta Naga Sanghie;55000;50000-100000;2
KOPI ROBUSTA SEMENDO DARK ROAST 1 KG BIJI KOPI BUBUK - Biji Kopi;74000;50000-100000;2
Kopi Ujung Robusta Toraja Premium 250 Gram;60000;50000-100000;2
Biji Kopi Susu Arabika 50% Robusta 50% Coreros House Blend - 500gr;72100;50000-100000;2
Bali Bo'hem Biji Kopi Organik Arabika BATAK (pouch) - Single Origin - 200g;89500;50000-100000;2
Kopi Robuta Dampit Malang 1 Kg (Biji/Bubuk);65000;50000-100000;2
Espresso Blend 500 gram Roast Bean Coffee Biji Kopi;94900;50000-100000;2
WoCA Kopi Bali Robusta 20 Sachets;54999;50000-100000;2
BIJI KOPI 100% FULL ROBUSTA Medium Roast 1KG - Mardika Coffee;75000;50000-100000;2
Kopi Java Robusta 900g - Roastedbean (biji sangrai);69000;50000-100000;2
Kopi Naga Sanghie Robusta 500 Gram;51500;50000-100000;2
Kopi Susu Blend 100% Robusta 1kg Coffee Beans Biji Kopi - Coarse/Kasar;88800;50000-100000;2
Kopi Bubuk Murni Robusta Tradisional Kopindari - 789 Gram;80000;50000-100000;2
Gayo Natural Single Estate Arabica 200g biji kopi coffee beans;86000;50000-100000;2
Kopi Robusta Natural Sidikalang Premium 1 Kg;87000;50000-100000;2
Kopi Burundi honey process ;75000;50000-100000;2
kopi kapsul excelso unakaffe Robusta gold;53500;50000-100000;2
Biji Kopi Bubuk Robusta Sidikalang 1kg 1 kg;90000;50000-100000;2
BIJI KOPI ETHIOPIA SIDAMO;95000;50000-100000;2
Biji Kopi Arabika Specialty Ethiopia Yirgacheffe Fullwash;87500;50000-100000;2
Kopi Arabika GAYO WINE | biji Kopi Aceh single origin arabica SPECIAL - 100g, Biji Sangrai;85000;50000-100000;2
Kopi Arabika lintong Natural Sumatra Biji Kopi Matang Bubuk 1kg;68000;50000-100000;2
Kopi Robusta Dampit Tirtoyudo Kualitas Pasar (Kemasan 1kg);78000;50000-100000;2
Biji Kopi 100% Full Robusta Dampit Roasted Commercial - BEST PRICE;85000;50000-100000;2
Biji Kopi Bubuk Arabika Papua Wamena Arabica Coffee Beans Coffe 200 gr;79900;50000-100000;2
Kopi Fine Robusta Aceh Gayo by Kieta Coffee 1000gr - Biji Kopi;65900;50000-100000;2
Kopi Robusta Dampit Natural 1kg (biji/bubuk);85000;50000-100000;2
Kopi Arabika Kintamani Bali Arabica Coffee Roast Beans 200g Biji Bubuk;59900;50000-100000;2
