Nama Produk;Harga;Kategori_Harga;Urutan
Kopi Teras - Kopi arabika 250 gram;90000;50000-100000;2
Kopi/Coffee ARABIKA PAPUA WAMENA 250gr;58000;50000-100000;2
Kopi Arabika Tanamera Coffee Espresso Blend 100Gr;81900;50000-100000;2
Arabica Aceh Gayo Takengon Grade 1 / Roasted Bean / Biji Kopi 500 GRAM;99990;50000-100000;2
Kopi Arabika Gayo Wine Process 250g - roastbean;75000;50000-100000;2
Opal Coffee - Gayo Arabica Roasted Beans 250g - Reguler,  Whole Beans;69000;50000-100000;2
Kopi Arabika Tanamera Coffee Premium Blend 100gr;89100;50000-100000;2
Kopi Luwak High Class Medium Roast Bean 200gr;76000;50000-100000;2
Kopi Liberika Arjuno 1kg single origin biji/bubuk;105000;100000-150000;3
Kopi Arabika Kerinci Mandarin Orange 200 gram Full Washed (Biji/Bubuk);113000;100000-150000;3
Kopi Arabica Gayo Natural Wine 500 gr (bubuk/biji);108000;100000-150000;3
KOPI ARABIKA BALI KINTAMANI 500GR - BIJI;130000;100000-150000;3
Kerinci Washed - Instinct Coffee - Biji Kopi;135000;100000-150000;3
Kopiz Arabica Lembah Kerinci Raya;130000;100000-150000;3
Kopi Arabika Toraja Sapan 500 GRAM (Bubuk dan Biji) - Medium Roasting,  Bubuk Halus;132000;100000-150000;3
Kopi Luwak Murni Renceng 20x6.5gr - 20pcs (Carton);118000;100000-150000;3
Rancabali Shasika Pink (Arabica Specialty Coffee);117000;100000-150000;3
TANAMERA COFFEE - Espresso Blend / Kopi Arabika 250 Gram 3 Varian - Find Grind;133285;100000-150000;3
Kopi Arabika Aceh Gayo Commercial Grade 1 kg;140000;100000-150000;3
Biji Kopi Blend 50/50 Kopi Susu Ekonomis 1 KG | 1KG;120000;100000-150000;3
KOPI ARABIKA ACEH GAYO 500GR - BIJI;130000;100000-150000;3
Kopi [Biji/Bubuk] 500gr Arabika Aceh Gayo WINE Kualitas Mantap - BIJI;150000;100000-150000;3
KOPI ARABIKA AROMANIS 200 gr NATURAL (BIJI / BUBUK) - bubuk halus;113000;100000-150000;3
Roasted Bean Primo Blend Tuang Coffee (Arabica dan Robusta) 1kg;135817;100000-150000;3
Kopi Arabika Flores Bajawa Commercial Grade 1 kg;140000;100000-150000;3
Kopi Arabika Java Ijen 500 Gr Single Origin Bean/Biji & Ground/Bubuk;115500;100000-150000;3
Kopi Arabika Java Ijen 500 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;115500;100000-150000;3
Kopi Arabika Luwak 100 Gr Single Origin - Biji & Bubuk - Bean - Biji;110000;100000-150000;3
Kopi Arabika Flores 500 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;115500;100000-150000;3
Bubuk Kopi Putih Liberika / Nangka 1kg (100% Original);125000;100000-150000;3
Kopi Arabika Kintamani Lemon Candy : Honey 200gr | Biji/Bubuk;149000;100000-150000;3
Kopi Arabika Solok 500 Gr Single Origin Bean/Biji & Ground/Bubuk;115500;100000-150000;3
Kopi Fajarasa Aceh Gayo Biji Kopi Arabica 500 gram;125000;100000-150000;3
Biji Kopi 100% Arabica ACEH GAYO Roasted Commercial 1kg - ESPRESSO;110000;100000-150000;3
Kopi Arabika Aceh Gayo 500 Gr Single Origin Bean/Biji & Ground/Bubuk - Coarse - Kasar;115500;100000-150000;3
Kopi Toraja Arabika Toraja Specialty 1AA Arabica Coffee - BIJI SANGRAI,  500gr Variety;125550;100000-150000;3
Kopi Arabika Peaberry / Lanang 500 Gr Single Origin - Bean - Biji;136000;100000-150000;3
BIJI KOPI 1KG | NERACA HOUSEBLEND ESPRESSO;150000;100000-150000;3
Kopi/Coffee ARABIKA PAPUA WAMENA 500gr;104000;100000-150000;3
Kopi Arabika KENYA KIRINYAGA 200g Specialty Coffee Beans Biji Kopi;143000;100000-150000;3
Decaf Colombia Dekaf Single Origin Arabica 200g biji kopi coffee beans;109000;100000-150000;3
Kopi Luwak High Class Dark Roast Bean 200gr Twin Pack;136800;100000-150000;3
Kopi Luwak Liar Gayo Arabica 200gr;140000;100000-150000;3
1KG ROAST BEAN ARABICA TEMANGGUNG FULLWASH JUAL KOPI ARABIKA GROSIR;110000;100000-150000;3
Robusta kopi Toraja asli 100 %, HARUM kopi Organik .1000gr - 1kg,  kemasan biasa;100880;100000-150000;3
ARUTALA Kopi Gayo Alur Badak Robusta Coffee 1KG - Biji;139999;100000-150000;3
Kopi Luwak Liar Arabika Gayo 200 Gr - Bubuk / Biji - Wild Civet Coffee - BUBUK HALUS;138000;100000-150000;3
Starbucks Cafe Verona - Whole Bean Dark Roast 250gr Biji Kopi Coffee;125000;100000-150000;3
Kopi Robusta Sidikalang - Roasted Bean - 1 KG;104500;100000-150000;3
Kopi Robusta Aceh Gayo - Roasted Bean - 1 KG - WHOLE BEAN;104500;100000-150000;3
Whole Bean Dark Roast 250gr Starbucks Brew Me Coffee Grind;125000;100000-150000;3
Kopi Luwak High Class Dark Roast Bean 200gr Twin Pack;139600;100000-150000;3
Relaxing Latimojong 200g | roasted beans specialty coffee biji kopi;140000;100000-150000;3
Kopi Vietnam - Mr Viet - 100% dari Vietnam - ROBUSTA;135000;100000-150000;3
Kopi Special Gold Espresso House Blend Coffee Beans Coffe 500 Gram - Biji Kopi;104900;100000-150000;3
Biji Kopi Aceh Gayo Arabika ROASTED BEANS 500G;104500;100000-150000;3
Biji Kopi Arabika Papandayan Hybrid Filter Roast - Constant Beans - Whole Beans;115000;100000-150000;3
Anomali Coffee Biji Kopi Toraja Bittuang - Whole Beans;125000;100000-150000;3
Biji Kopi Susu Blend Custom Arabica Robusta Roasted Coffee Beans 1 Kg;110000;100000-150000;3
Kopi Starbucks Whole Bean Espresso Dark Roast Coffee Sachet Bag 250 gr;149000;100000-150000;3
El's Coffee Robusta Bundle - Paket Kopi Robusta;132000;100000-150000;3
Kopi Espresso Fine Robusta Garut 1 Kg;119000;100000-150000;3
Robusta kopi Toraja asli 100 %, HARUM kopi Organik .1000gr;100880;100000-150000;3
Kopi Arabika Papandayan Arabica Coffee Roast Beans 500gr Biji Bubuk;149900;100000-150000;3
Biji Kopi Aceh Gayo Robusta (ROASTED BEANS);114000;100000-150000;3
Biji kopi robusta lanang Sumsel 1kg sangrai / roasted beans kopi Piko;120000;100000-150000;3
Kopi Luwak High Class Dark Roast Bean 200gr Twin Pack;139600;100000-150000;3
Kopi Luwak High Class Medium Roast Bean 200gr Twin Pack;139600;100000-150000;3
Biji Kopi Arabika Papandayan Hybrid Filter Roast - Constant Beans;115000;100000-150000;3
Kopi Luwak High Class Dark Roast Bean 200gr Twin Pack;136800;100000-150000;3
TANAMERA COFFEE - Espresso Blend / Kopi Arabika 250 Gram 3 Varian;133285;100000-150000;3
Kopi Robusta Aceh Gayo - Roasted Bean - 1 KG - WHOLE BEAN;104500;100000-150000;3
Biji kopi House Blend SEA ALMAZ 1 kg Roasted Coffee Bean Espresso - 30A 70R,  Biji Kopi;102000;100000-150000;3
Biji Kopi 100% Arabica ACEH GAYO Roasted Commercial 1kg - ESPRESSO - Bubuk Kasar;110000;100000-150000;3
Roasted Bean Primo Blend Tuang Coffee (Arabica dan Robusta) 1kg - Biji Kopi.;132817;100000-150000;3
El's Coffee Robusta Bundle - Paket Kopi Robusta - Biji Kopi;132000;100000-150000;3
Starbucks Italian Roast - Whole Bean Dark Roast 250gr Biji Kopi Coffee;125000;100000-150000;3
Kopi Robusta Nusantara 1 Kg -Fine Robusta- Bean/Biji & Ground/Bubuk - Aceh Gayo;146000;100000-150000;3
Kopi Arabika SUWARNADWIPA STRAWBERRY Limited Single Origin mrocoffee - 200g, Biji Sangrai;129000;100000-150000;3
Kopi Double Deer 200 Gram (Biji Kopi Espresso Blend Full Arabica) - Whole Beans;110000;100000-150000;3
Biji Kopi Bubuk Robusta Toraja Sulawesi Coffee Beans Espresso 1Kg - Biji Kopi;134900;100000-150000;3
Roasted Bean Primo Blend Tuang Coffee (Arabica dan Robusta) 1kg;132817;100000-150000;3
Starbucks Espresso - Whole Bean Dark Roast 250gr Biji Kopi Coffee;125000;100000-150000;3
1KG ROAST BEAN ARABICA TEMANGGUNG FULLWASH JUAL KOPI ARABIKA GROSIR - BIJI,  500gram;110000;100000-150000;3
Kopi Nangka 1Kg biasa disebut Liberika atau Excelsa Khas Dari Semeru;119000;100000-150000;3
Es kopi blend robus arabica coffee ABRA 70% Robusta 30% Arabica 1000gr;120000;100000-150000;3
Kopi Robusta Aceh Gayo - Roasted Bean - 1 KG;104500;100000-150000;3
Starbucks Sumatra - Whole Bean Dark Roast 250gr Biji Kopi Coffee Grind;125000;100000-150000;3
Kopi Robusta Lampung - Roasted Bean - 1 KG - WHOLE BEAN;104500;100000-150000;3
Roasted Bean Primo Blend Tuang Coffee (Arabica dan Robusta) 1kg - Biji Kopi.;132817;100000-150000;3
Starbucks Coffee Whole Bean 250 gram Espresso Roast;118000;100000-150000;3
Kopi Liberika Sumedang 1kg / Kopi Nangka;150000;100000-150000;3
Biji kopi robusta lanang Sumsel 1kg sangrai / roasted beans kopi Piko - Biji Kopi;120000;100000-150000;3
BIJI KOPI HOUSE BLEND Arabica 50% Robusta 50% - 1 kg - Biji, 250gr x 4;145000;100000-150000;3
Nut on Nut 1kg - Biji Kopi Robusta Kopi Susu Blend 1kg | Coffeenatics;120000;100000-150000;3
KOPI ROBUSTA 1KG;125000;100000-150000;3
Kopi Robusta Sidikalang - Roasted Bean - 1 KG - WHOLE BEAN;104500;100000-150000;3
Tiga Tujuh 1kg - Biji Kopi Grosir 1kg | Coffeenatics;120000;100000-150000;3
Kopi Arabika Peaberry Gayo - Roasted Bean - 500g;123500;100000-150000;3
Kopi Arabika Puntang 500 Gr Single Origin Bean/Biji & Ground/Bubuk;115500;100000-150000;3
ARUTALA Kopi Robusta Temanggung Wine 500 gram - Biji;123999;100000-150000;3
KOPI ARABIKA MALABAR 500gr FULL WASHED (BIJI / BUBUK) - FUGOL COFFEE;138000;100000-150000;3
Kopi Robusta Bali 1 Kg -Fine Robusta- Bean/Biji & Ground/Bubuk - Bean - Biji;146500;100000-150000;3
El's Coffee Robusta Bundle - Paket Kopi Robusta;132000;100000-150000;3
Kopi Luwak - Paket Ternikmat;114284;100000-150000;3
Seniman Coffee Beans / Biji Kopi Totally Decaf;161000;150000-200000;4
Kopi Arabika Tanamera Coffee Sumatera: Mandailing Washed 250g;180000;150000-200000;4
Kopi Arabika Ethiopia Yirgacheffe 200 gram Specialty Coffee Biji Kopi;158000;150000-200000;4
Kopi Arabika Aceh Gayo 1 KG - Commercial Grade - WHOLE BEAN;160000;150000-200000;4
ARUTALA Kopi Arabika Toraja Sapan 500 Gram;150999;150000-200000;4
Kopi Luwak Liar ARABIKA Aceh Gayo ASLI biji kopi arabica LIMITED - 100g, Biji Sangrai;159000;150000-200000;4
Biji Kopi 100% Full Arabica Mandheling Roasted Commercial - BEST PRICE - Biji Kopi;165000;150000-200000;4
% Arabica Blend 200 gram ( coffee beans );185000;150000-200000;4
ARUTALA Kopi Flores Bajawa Arabika Arabica Coffee 500 Gram;150999;150000-200000;4
Kopi Arabika Tanamera Coffee Premium Blend;180000;150000-200000;4
Kopi Fajarasa Papua Wamena Biji Kopi Arabica 500 gram - Biji Utuh;170000;150000-200000;4
Kopi Arabika Sulawesi: Toraja Sapan;156750;150000-200000;4
Kopi Signature Espresso House Blend Coffee Beans 1Kg ( Biji / Bubuk );179900;150000-200000;4
kopi arabika gayo specialty (full wash) - 1kg | biji/bubuk;190000;150000-200000;4
Kopi Arabika Tanamera Coffee Bali: Kintamani Washed 250g;158000;150000-200000;4
Kopi Arabika Tanamera Coffee Espresso Blend 250 Gr;150100;150000-200000;4
% Arabica Sumatra Simalem 200 gram Single Origin ( coffee beans );185000;150000-200000;4
Kopi Luwak Liar ARABIKA Aceh Gayo ASLI biji kopi arabica LIMITED;159000;150000-200000;4
Single Origin Arabica Fullwash Espresso 1kg (Coffee Roasted Beans);190000;150000-200000;4
Biji Kopi 100% Full Arabica Mandheling Roasted Commercial - BEST PRICE;165000;150000-200000;4
Roasted Bean Premium Arabica Washed Tuang Coffee 1kg;192000;150000-200000;4
Kopi Toraja robusta arabika Blend Arabusta Gandangbatu 1kg;156600;150000-200000;4
Single Origin Arabica Fullwash Espresso 1kg (Coffee Roasted Beans);180000;150000-200000;4
Biji Kopi PAPUA (200gr) - FIRST CRACK Specialty Coffee Beans Roasted;200000;150000-200000;4
ARUTALA Kopi Vietnam Central Highland Robusta 1KG;151999;150000-200000;4
ARUTALA Kopi Vietnam Central Highland Robusta 1KG - Biji;151999;150000-200000;4
Kopi Arabika Luwak 200 Gr Single Origin - Biji & Bubuk - Bean - Biji;200000;150000-200000;4
Kopi Java Blend 1 Kg (Blend Kopi Susu Arabica-Robusta) - Whole Beans;161500;150000-200000;4
Colombia El Diviso Geisha (Filter Roast) - Specialty Coffee Bean;192000;150000-200000;4
Kopi Toraja robusta arabika Blend Arabusta Gandangbatu 1kg - BIJI SANGRAI;156600;150000-200000;4
KOPI BIJI BALI PREMIUM ROBUSTA COFFEE BEAN 1000 GR;170000;150000-200000;4
Kopi Gayo Premium Blend 1 KG / Arabika & Robusta / Biji & Bubuk - Roasted Bean;170000;150000-200000;4
Kopi Java Blend 1 Kg (Blend Kopi Susu Arabica-Robusta) - Whole Beans;161500;150000-200000;4
Kopi Java Blend 1 Kg (Blend Kopi Susu Arabica-Robusta);161500;150000-200000;4
KOPI NESCAFE GOLD DECAF 100GR INSTANT ARABICA AND ROBUSTA;150738;150000-200000;4
Roasted Bean Premium Arabica Washed Tuang Coffee 1kg - Biji Kopi;192000;150000-200000;4
KOPI ARABIKA KAMOJANG 500 gr HONEY (BIJI / BUBUK) - biji kopi;198000;150000-200000;4
Kopi Fajarasa Papua Wamena Biji Kopi Arabica 500 gram;170000;150000-200000;4
Kopi Arabika Puntang WINE Process 500 Gram - Bean - Biji;170000;150000-200000;4
Kopi Luwak Collagen Renceng 10x25gr -10pcs [Carton];181000;150000-200000;4
Anomali Coffee Biji Kopi Black Pearl 500gr;180000;150000-200000;4
Kopi Arabika Aceh Gayo WINE Process 500 Gram - Bean - Biji;170000;150000-200000;4
Kopi Arabika Montecillos Honduras 500 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;185000;150000-200000;4
Kopi Arabika Congo Kawa Kivu 500 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;185000;150000-200000;4
Kopi Arabika Preanger 1 Kg Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;213000;200000-250000;5
Coffee Illy Medium Roast Beans Espresso 250 gram Biji Kopi Roasted;202000;200000-250000;5
Roasted Bean Dia Blend Tuang Coffee (Full Arabica) 1kg - Biji Kopi;208000;200000-250000;5
KOPI ARABIKA AROMANIS 500 gr NATURAL (BIJI / BUBUK) - bubuk halus;203000;200000-250000;5
Kopi Arabika Lintong 1 Kg Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;213000;200000-250000;5
1 KG KOPI ARABICA TEMANGGUNG NATURAL ROAST BEAN JUAL ARABIKA GROSIR - BIJI,  1KG;205000;200000-250000;5
Kopi Arabika Kerinci 1 Kg Single Origin - Coarse - Kasar;213000;200000-250000;5
Arabika Roasted bean / biji kopi 1 kg for Business - Kintamani Bali;210000;200000-250000;5
Kopi Luwak Asli 250gr (Robusta);240000;200000-250000;5
illy Coffee - Classico - Biji Kopi 250 gr;202000;200000-250000;5
Roasted Bean Dia Blend Tuang Coffee (Full Arabica) 1kg;208000;200000-250000;5
ARUTALA Kopi Robusta Temanggung Wine 1KG - Biji;241999;200000-250000;5
Kopi Arabika Ijen Raung 1 KG Single Origin Arabica Coffee - BIJI;240000;200000-250000;5
Kopi Arabika Puntang 1 Kg Single Origin Bean/Biji & Ground/Bubuk;213000;200000-250000;5
Kopi Arabika Garut Sukatani (Kemasan 1kg);210000;200000-250000;5
Kopi Arabika Kerinci Kayu Aro 1 Kg ( Biji / Bubuk );225000;200000-250000;5
Kopi Arabika Flores Manggarai 1 KG Arabica Coffee - BIJI;240000;200000-250000;5
Kopi Arabika Toraja 1 Kg Single Origin Bean/Biji & Ground/Bubuk - Coarse - Kasar;213000;200000-250000;5
Kopi Arabika Mandailing 1 Kg Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;213000;200000-250000;5
Kopi Arabika Roast Fresh Coffee Honey 1 Kg - Giling Halus;300000;250000-300000;6
Kopi Arabika Toraja Perindingan FW 1kg - BIJI SANGRAI;272000;250000-300000;6
KOPI BIJI PAPUA ARABICA DARK ROASTED COFFEE BEANS 1000 GR;275000;250000-300000;6
Kopi Arabika Ijen Raung NATURAL 1 KG Single Origin Arabica Coffee - BIJI;300000;250000-300000;6
Biji Kopi Arabika Watermelon Smash! 500 gram Specialty Coffee - Biji;268000;250000-300000;6
Kopi Arabika Peaberry / Lanang 1 Kg Single Origin - Bean - Biji;255000;250000-300000;6
Malotong Kopi Arabika Toraja Sapan 1 Kg Bubuk/Biji - Medium Roasted,  Gilingan Kasar;310000;300000-350000;7
Kopi Luwak Gayo dan Robusta Box Besar;349000;300000-350000;7
Malotong Kopi Arabika Toraja 1kg Gandasil Coffee Bean Kopi Bubuk Biji - Medium Roasted,  Biji Roasted;310000;300000-350000;7
Kopi Arabika Tanamera Coffee Espresso Blend 1 Kg;396000;350000-400000;8
Kopi Luwak Ternak Sidikalang Arabika 250 Gram;375000;350000-400000;8
TANAMERA COFFEE - Premium Blend / Kopi Arabika 1kg;412800;400000-450000;9
Biji Kopi Arabika Watermelon Smash! 1 KG Specialty Coffee - Biji;425000;400000-450000;9
Kopi Arabika Luwak 500 Gr Single Origin - Bean/Biji & Ground/Bubuk - Bean - Biji;450000;400000-450000;9
Kopi Arabika Tanamera Coffee Premium Blend 1Kg;463000;450000-500000;10
Kopi Arabika KENYA KIRINYAGA 1 Kg Specialty Coffee Beans Biji Kopi;462000;450000-500000;10
Kopi Arabika Tanamera Coffee Sumatera: Mandailing Washed 1Kg;462000;450000-500000;10
Kopi Arabika Ethiopia Yirgacheffe 1 KG Specialty Coffee Biji Kopi;502000;500000-550000;11
Kona Coffee Hawaii 100% Peaberry Medium Roast Coffee Bean 8oz 226g;750000;700000-750000;15
Kopi Luwak Authentic Arabica 150 Gr;744610;700000-750000;15
