Nama Produk;Harga;Diskon;Harga Sebelum Diskon;Lokasi;Toko;Rating;Terjual;Estimasi Terjual;Jenis;Proses;Origin;Negara;Jumlah gram
Kopi Arabika Luwak 200 Gr Single Origin - Biji & Bubuk - Bean - Biji;200000;0;200000;Tangerang;Caffeine Dope;5.0;19;19;Arabika;Luwak;Other;Other;200
Kopi Arabika Kintamani 200 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;56500;0;56500;Tangerang;Caffeine Dope;4.9;100+;100;Arabika;Other;Kintamani;Lokal;200
Kopi Arabika Java Ijen 500 Gr Single Origin Bean/Biji & Ground/Bubuk;115500;0;115500;Tangerang;Caffeine Dope;4.9;80+;80;Arabika;Other;Ijen;Lokal;500
Kopi Luwak Ternak Sidikalang Arabika 250 Gram;375000;0;375000;Jakarta Barat;Toko Kopi Sidikalang Jaya Harco;5.0;60+;60;Arabika;Luwak;Sidikalang;Lokal;250
Kopi Arabika Toraja (Biji/Bubuk) 250 GRAM - Medium Dark,  Bubuk Halus;65000;32;95000;Makassar;Malotong Toraja Coffee;4.8;1 rb+;1000;Arabika;Other;Toraja;Lokal;250
Kopi Arabika Flores Manggarai 1 KG Arabica Coffee - BIJI;240000;0;240000;Jakarta Barat;WATERGROUND COFFEE;5.0;19;19;Arabika;Other;Flores;Lokal;1000
Kopi Toraja Arabika Toraja Specialty 1AA Arabica Coffee - BIJI SANGRAI,  500gr Variety;125550;7;135000;Kab. Toraja Utara;TorayaKoffie;4.8;22;22;Arabika;Other;Toraja;Lokal;500
Kopi Arabika Peaberry / Lanang 500 Gr Single Origin - Bean - Biji;136000;0;136000;Tangerang;Caffeine Dope;5.0;30+;30;Arabika;Other;Other;Other;500
Kopi Arabika Luwak 500 Gr Single Origin - Bean/Biji & Ground/Bubuk - Bean - Biji;450000;0;450000;Tangerang;Caffeine Dope;5.0;2;2;Arabika;Luwak;Other;Other;500
Kopi Arabika Kerinci Mandarin Orange 100 gram Full Washed (Biji/Bubuk);63000;0;63000;Bandung;Fugol Coffee;5.0;100+;100;Arabika;Wash;Kerinci;Lokal;100
Kopi [Biji/Bubuk] 500gr Arabika Aceh Gayo WINE Kualitas Mantap - BIJI;150000;0;150000;Jakarta Barat;WATERGROUND COFFEE;4.8;100+;100;Arabika;Wine;Gayo;Lokal;500
Kopi Arabika Kerinci Mandarin Orange 200 gram Full Washed (Biji/Bubuk);113000;0;113000;Bandung;Fugol Coffee;5.0;250+;250;Arabika;Wash;Kerinci;Lokal;200
Drip Bag Coffee (Kopi Indonesia) - 5 Drip Bag;47500;5;50000;Jakarta Barat;Say Something Coffee;4.9;100+;100;Other;Other;Other;Other;Other
Kopi Arabika Kilimanjaro Tanzania 200 Gr - Bean/Biji & Ground/Bubuk;88000;0;88000;Tangerang;Caffeine Dope;4.9;50+;50;Arabika;Other;Kilimanjaro tanzania;Internasional;200
Kopi/Coffee ARABIKA PAPUA WAMENA 250gr - MEDIUM ROAST,  COARSE;58000;0;58000;Jakarta Timur;Kultur Jaringan Kopi;4.8;250+;250;Arabika;Other;Papua;Lokal;250
Kopi Arabika/Robusta Toraja Blend (Bubuk/Biji) 250GR - Medium Roasting,  Biji Roasting;65000;0;65000;Makassar;Malotong Toraja Coffee;4.9;1 rb+;1000;Blend;Other;Blend;Other;250
Kopi Arabika Ethiopia Yirgacheffe 1 KG Specialty Coffee Biji Kopi;502000;0;502000;Bandung;Fugol Coffee;5.0;50+;50;Arabika;Other;Yirgacheffe;Internasional;1000
Malotong Kopi Arabika Toraja 1kg Gandasil Coffee Bean Kopi Bubuk Biji - Medium Roasted,  Biji Roasted;310000;0;310000;Makassar;Malotong Toraja Coffee;4.8;250+;250;Arabika;Other;Toraja;Lokal;1000
Kopi Arabika Garut Papandayan 200 Gram Single Origin;56500;0;56500;Tangerang;Caffeine Dope;5.0;30+;30;Arabika;Other;Garut;Lokal;200
Kopi Arabika Peaberry / Lanang 1 Kg Single Origin - Bean - Biji;255000;0;255000;Tangerang;Caffeine Dope;5.0;12;12;Arabika;Other;Other;Other;1000
Kopi Arabika Wamena 200 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;64000;0;64000;Tangerang;Caffeine Dope;5.0;250+;250;Arabika;Other;Wamena;Lokal;200
KOPI ARABIKA KAMOJANG 200 gr FULL WASHED (BIJI / BUBUK);90999;0;90999;Bandung;Zero Hour Coffee;5.0;10;10;Arabika;Wash;Kamojang;Lokal;200
kopi Arabika proses natural palintang bdg Utara 200 gram by javanika - Kasar;70000;0;70000;Bandung;AbahKujangsari;4.7;8;8;Arabika;Natural;Palintang;Lokal;200
Kopi Arabika Puntang 1 Kg Single Origin Bean/Biji & Ground/Bubuk;213000;0;213000;Tangerang;Caffeine Dope;4.9;90+;90;Arabika;Other;Puntang;Lokal;1000
Malotong Kopi Arabika Toraja Sapan 1 Kg Bubuk/Biji - Medium Roasted,  Gilingan Kasar;310000;0;310000;Makassar;Malotong Toraja Coffee;5.0;29;29;Arabika;Other;Toraja;Lokal;1000
Kopi Luwak Liar Arabika Gayo 200 Gr - Bubuk / Biji - Wild Civet Coffee - BUBUK HALUS;138000;40;230000;Kab. Bandung;Sentra Kopi;5.0;40+;40;Arabika;Luwak;Gayo;Lokal;200
Kopi Toraja Blend Arabika Robusta Arabusta 500 gram;87000;13;100000;Makassar;Kopi Toraja Gandangbatu;5.0;30+;30;Blend;Other;Blend;Other;500
Kopi Arabika Yirgacheffe Ethiopia 100 Gr - Bean/Biji & Ground/Bubuk;46500;0;46500;Tangerang;Caffeine Dope;5.0;90+;90;Arabika;Other;Yirgacheffe;Internasional;100
Kopi Arabika Toraja Perindingan FW 1kg - BIJI SANGRAI;272000;20;340000;Makassar;Kopi Toraja Gandangbatu;4.8;24;24;Arabika;Other;Toraja;Lokal;1000
Kopi Arabika Congo Kawa Kivu 200 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;88000;0;88000;Tangerang;Caffeine Dope;5.0;13;13;Arabika;Other;Congo;Internasional;200
Kopi Arabika Roast Fresh Coffee Honey 1 Kg - Giling Halus;300000;0;300000;Kab. Bandung;Kopi Andu Official;5.0;3;3;Arabika;Honey;Halu;Lokal;1000
Roasted Bean Primo Blend Tuang Coffee (Arabica dan Robusta) 1kg - Biji Kopi.;132817;33;197500;Jakarta Selatan;Tuang Coffee;5.0;9 rb+;9000;Blend;Other;Flores;Lokal;1000
Roasted Bean Premium Robusta Natural Tuang Coffee 250gr - Biji Kopi.;48827;25;65000;Jakarta Selatan;Tuang Coffee;4.9;3 rb+;3000;Robusta;Natural;Flores;Lokal;250
Roasted Bean Premium Robusta Natural Tuang Coffee 1kg - Biji Kopi.;91735;17;110000;Jakarta Selatan;Tuang Coffee;5.0;10 rb+;10000;Robusta;Natural;Flores;Lokal;1000
Roasted Bean Premium Arabica Washed Tuang Coffee 1kg;192000;0;192000;Jakarta Selatan;Tuang Coffee;5.0;5 rb+;5000;Arabika;Wash;Flores;Lokal;1000
Kopi Arabika Gayo Aceh Arabica Coffee Roast Bean 200g Biji Bubuk Coffe;59999;42;103999;Bekasi;Second Step Coffee;5.0;1 rb+;1000;Arabika;Other;Gayo;Lokal;Other
Roasted Bean Primo Blend Tuang Coffee (Arabica dan Robusta) 1kg;132817;33;197500;Jakarta Selatan;Tuang Coffee;5.0;9 rb+;9000;Blend;Other;Flores;Lokal;1000
Bali Kintamani Arabica Grade 1 Biji Kopi Roasted Beans;48000;25;64032;Jakarta Barat;The Cold Crafters;4.9;3 rb+;3000;Arabika;Other;Bali;Lokal;Other
Roasted Bean Premium Robusta Natural Tuang Coffee 250gr;48827;25;65000;Jakarta Selatan;Tuang Coffee;4.9;3 rb+;3000;Robusta;Natural;Flores;Lokal;250
Roasted Bean Premium Robusta Natural Tuang Coffee 1kg;91735;17;110000;Jakarta Selatan;Tuang Coffee;5.0;10 rb+;10000;Robusta;Natural;Flores;Lokal;1000
Awi Coffee Sidikalang Arabica Premium 250gr|Biji|Roasted|Grade 1|Beans;64350;1;65000;Jakarta Utara;AWI COFFEE;4.9;1 rb+;1000;Arabika;Other;Sidikalang;Lokal;250
Biji Kopi Bubuk Arabika Bali Kintamani Arabica Coffee Roast Beans 200g;59900;57;139900;Bekasi;Sakha Coffee Roastery;4.9;4 rb+;4000;Arabika;Other;Bali;Lokal;Other
Gentlemen's Blend Espresso Arabica Biji Kopi Roasted Beans;49000;25;65366;Jakarta Barat;The Cold Crafters;4.9;3 rb+;3000;Blend;Other;Blend;Other;Other
Starbucks Espresso - Whole Bean Dark Roast 250gr Biji Kopi Coffee;125000;0;125000;Jakarta Barat;Whitesides;4.9;500+;500;Other;Other;Other;Other;250
Biji Kopi Bubuk Arabika Toraja Arabica Coffee Roast Bean Sakha 200Gram;59900;57;139900;Bekasi;Sakha Coffee Roastery;4.9;2 rb+;2000;Arabika;Other;Toraja;Lokal;200
Cold Crafters Signature Cold Brew Blend Roasted Coffee Beans;52000;25;69369;Jakarta Barat;The Cold Crafters;4.9;2 rb+;2000;Blend;Other;Blend;Other;Other
Aceh Gayo Arabica Grade 1 Biji Kopi Roasted Beans;46000;25;61364;Jakarta Barat;The Cold Crafters;4.9;4 rb+;4000;Arabika;Other;Gayo;Lokal;Other
1KG ROAST BEAN ARABICA TEMANGGUNG FULLWASH JUAL KOPI ARABIKA GROSIR - BIJI,  500gram;110000;0;110000;Magelang;Borobudur Roastery;4.9;1 rb+;1000;Arabika;Wash;Temanggung;Lokal;1000
Cold Crafters Signature Cold Brew Blend Roasted Coffee Beans - GILING KASAR,  100 gram;52000;25;69369;Jakarta Barat;The Cold Crafters;4.9;2 rb+;2000;Blend;Other;Blend;Other;100
kopi robusta temanggung 1kg / roast bean robusta 1kg;35000;0;35000;Jakarta Barat;Aik Kopi;4.5;40+;40;Robusta;Other;Temanggung;Lokal;1000
Kopi Robusta Aceh Gayo - Roasted Bean - 1 KG;104500;5;110000;Medan;Hatana Coffee;4.9;500+;500;Robusta;Other;Gayo;Lokal;1000
Kopi Biji Sangrai / Roast Bean Robusta Lanang (250gr) - Halus Serbuk;31000;0;31000;Palembang;KOPI PIKO;5.0;250+;250;Robusta;Other;Halu;Lokal;250
Starbucks Sumatra - Whole Bean Dark Roast 250gr Biji Kopi Coffee Grind;125000;0;125000;Jakarta Barat;Whitesides;4.9;80+;80;Other;Other;Sumatra;Lokal;250
Roasted Bean Premium Arabica Washed Tuang Coffee 250gr;58827;38;95000;Jakarta Selatan;Tuang Coffee;4.9;5 rb+;5000;Arabika;Wash;Flores;Lokal;250
Starbucks Italian Roast - Whole Bean Dark Roast 250gr Biji Kopi Coffee;125000;0;125000;Jakarta Barat;Whitesides;4.9;250+;250;Other;Other;Other;Other;250
1KG ROAST BEAN ROBUSTA TEMANGGUNG JUAL BIJI KOPI HARGA GROSIR;70000;0;70000;Magelang;Borobudur Roastery;4.9;7 rb+;7000;Robusta;Other;Temanggung;Lokal;1000
Kopi Arabika Kerinci Honey Arabica Specialty Coffee Roast Beans 200gr;79900;38;129900;Bekasi;Sakha Coffee Roastery;5.0;250+;250;Arabika;Honey;Kerinci;Lokal;200
Arabika Blue Ijen 200 gr Roast Bean Coffee - Kopi biji matang;79900;6;85000;Depok;TADI PAGI ROASTERY;4.9;250+;250;Arabika;Other;Ijen;Lokal;200
Kopi Robusta Flores Bajawa Coffee Bean Espresso Roast Beans Biji Bubuk;29900;40;49900;Bekasi;Sakha Coffee Roastery;5.0;250+;250;Robusta;Other;Flores;Lokal;Other
Toraja Sapan Arabica Grade 1 Biji Kopi Roasted Beans;46000;25;61364;Jakarta Barat;The Cold Crafters;4.9;2 rb+;2000;Arabika;Other;Toraja;Lokal;Other
Robusta Dampit Biji Kopi Roasted Beans;38000;25;50692;Jakarta Barat;The Cold Crafters;4.9;1 rb+;1000;Robusta;Other;Dampit;Lokal;Other
Starbucks Coffee Whole Bean 250 gram Espresso Roast;118000;0;118000;Jakarta Barat;Toko Starbucks lover;5.0;750+;750;Other;Other;Other;Other;250
Kopi Arabika Peaberry Gayo - Roasted Bean - 500g;123500;5;130000;Medan;Hatana Coffee;5.0;50+;50;Arabika;Other;Gayo;Lokal;Other
Biji kopi robusta lanang Sumsel 1kg sangrai / roasted beans kopi Piko - Biji Kopi;120000;0;120000;Palembang;KOPI PIKO;5.0;250+;250;Robusta;Other;Sumsel;Lokal;1000
Roasted Bean Primo Blend Tuang Coffee (Arabica dan Robusta) 250gr;52735;30;75000;Jakarta Selatan;Tuang Coffee;5.0;3 rb+;3000;Blend;Other;Flores;Lokal;250
Kopi Arabika Peaberry Gayo - Roasted Bean - 200g - WHOLE BEAN;55000;8;60000;Medan;Hatana Coffee;4.9;60+;60;Arabika;Other;Gayo;Lokal;Other
Single Origin Arabica Fullwash Espresso 1kg (Coffee Roasted Beans);180000;0;180000;Bandung;Flood Coffee Roastery;5.0;250+;250;Arabika;Wash;Other;Other;1000
Kopi Arabika Semendo Arabica Coffee Beans 200gr Roast Bean Biji Bubuk;59900;45;109900;Bekasi;Sakha Coffee Roastery;5.0;1 rb+;1000;Arabika;Other;Semendo;Lokal;200
Biji Kopi PAPUA (200gr) - FIRST CRACK Specialty Coffee Beans Roasted;200000;0;200000;Jakarta Utara;First Crack Coffee;4.9;250+;250;Other;Other;Papua;Lokal;200
Sakicha Purple Grape (200 gr) roasted beans specialty coffee biji kopi;90000;0;90000;Kab. Sleman;Space Roastery;4.9;250+;250;Other;Other;Sakicha;Internasional;200
Kopi Luwak Liar Arabika Gayo Aceh Arabica Coffee Roast Beans 100 Gram;89900;50;179900;Bekasi;Sakha Coffee Roastery;4.9;500+;500;Arabika;Luwak;Gayo;Lokal;100
Coffee Illy Medium Roast Beans Espresso 250 gram Biji Kopi Roasted;202000;4;210000;Jakarta Barat;Tomica2605;5.0;750+;750;Other;Other;Other;Other;250
1KG ROAST BEAN ROBUSTA Untuk KOPI SUSU HARGA GROSIR MURAH;78000;0;78000;Surabaya;Coffee Hub Roastery;4.9;1 rb+;1000;Robusta;Other;Other;Other;1000
Kopi Robusta Bali Kintamani Coffee Espresso Roasted Beans Biji Bubuk;29900;40;49900;Bekasi;Sakha Coffee Roastery;5.0;250+;250;Robusta;Other;Bali;Lokal;Other
Sumatera Lintong Arabica Grade 1 Biji Kopi Roasted Beans;46000;25;61364;Jakarta Barat;The Cold Crafters;4.9;1 rb+;1000;Arabika;Other;Lintong;Lokal;Other
Arabika Papua Wamena 200 gr Roast Bean Coffee - Kopi biji matang;89900;5;95000;Depok;TADI PAGI ROASTERY;4.9;500+;500;Arabika;Other;Papua;Lokal;200
Biji Kopi Bubuk Arabika Gayo Aceh Sumatera Arabica Coffee Roast Bean;42999;52;89900;Jakarta Barat;toko kopi kurawa;4.9;2 rb+;2000;Arabika;Other;Gayo;Lokal;Other
Kopi Arabika Papua Wamena Arabica Coffee Roasted Beans Biji Bubuk 200g;54999;52;114900;Jakarta Barat;toko kopi kurawa;4.9;2 rb+;2000;Arabika;Other;Papua;Lokal;Other
Kopi Susu Blend Arabica 20% Robusta 80% Roasted Coffee Beans Biji;34000;25;45356;Jakarta Barat;The Cold Crafters;4.9;2 rb+;2000;Blend;Other;Blend;Other;Other
Biji Kopi Bubuk Robusta Toraja Coffee Roast Beans Sakha Roastery 500Gr;74900;32;109900;Bekasi;Sakha Coffee Roastery;5.0;750+;750;Robusta;Other;Toraja;Lokal;500
Kopi Arabika Papandayan Arabica Coffee Roast Beans 200gr Biji Bubuk;59900;54;129900;Bekasi;Sakha Coffee Roastery;5.0;1 rb+;1000;Arabika;Other;Papandayan;Lokal;200
Opal Coffee - Gayo Arabica Roasted Beans 250g;69000;13;79350;Jakarta Pusat;Opal Coffee Official Store;5.0;750+;750;Arabika;Other;Gayo;Lokal;Other
Biji Kopi Susu Blend Custom Arabica Robusta Roasted Coffee Beans 1 Kg;110000;4;115000;Jakarta Utara;VOTRRO Coffee;5.0;1 rb+;1000;Blend;Other;Blend;Other;1000
KOPI ARABIKA CIWIDEY LEMON BLACK BERRY ROASTED BEAN CIWIDEY - 250 GRAM;51000;0;51000;Jakarta Selatan;Toko Biji Kopi;4.9;250+;250;Arabika;Other;Ciwidey;Lokal;250
Machoffee Blend (200 gr) roasted beans specialty coffee biji kopi;95000;0;95000;Kab. Sleman;Space Roastery;5.0;1 rb+;1000;Blend;Other;Blend;Other;200
1KG ROAST BEAN ARABICA TEMANGGUNG FULLWASH JUAL KOPI ARABIKA GROSIR;110000;0;110000;Magelang;Borobudur Roastery;4.9;1 rb+;1000;Arabika;Wash;Temanggung;Lokal;1000
Biji Kopi Bubuk Robusta Flores Coffee Roast Beans Sakha Roastery 250Gr;39900;33;59900;Bekasi;Sakha Coffee Roastery;5.0;1 rb+;1000;Robusta;Other;Flores;Lokal;250
Starbucks Cafe Verona - Whole Bean Dark Roast 250gr Biji Kopi Coffee;125000;0;125000;Jakarta Barat;Whitesides;4.9;100+;100;Other;Other;Other;Other;250
Kopi Robusta Sidikalang - Roasted Bean - 1 KG;104500;5;110000;Medan;Hatana Coffee;5.0;1 rb+;1000;Robusta;Other;Sidikalang;Lokal;1000
Kopi Robusta Toraja Mamasa Sulawesi Coffee Bean Espresso Roasted Beans;29900;40;49900;Bekasi;Sakha Coffee Roastery;5.0;250+;250;Robusta;Other;Toraja;Lokal;Other
Originutt Blend (200 gr) roasted beans specialty coffee biji kopi;100000;0;100000;Kab. Sleman;Space Roastery;5.0;750+;750;Blend;Other;Blend;Other;200
Kopi Arabika Gayo Wine Arabica Specialty Coffee Roast Beans 100 Gram;49900;33;74900;Bekasi;Sakha Coffee Roastery;5.0;750+;750;Arabika;Wine;Gayo;Lokal;100
Robusta Roasted Bean / Biji Kopi 1 kg for Business - Pupuan Bali;100000;0;100000;Kab. Badung;Minumologi;4.9;500+;500;Robusta;Other;Bali;Lokal;1000
Whole Bean Dark Roast 250gr Starbucks Brew Me Coffee Grind;125000;0;125000;Jakarta Barat;Whitesides;5.0;500+;500;Other;Other;Other;Other;250
Kopi Luwak High Class Dark Roast Bean 200gr Twin Pack;139600;8;152000;Jakarta;Kopi Luwak Official;4.8;250+;250;Other;Luwak;Other;Other;200
Sakicha Red Strawberry 200 gr roasted beans specialty coffee biji kopi;90000;0;90000;Kab. Sleman;Space Roastery;5.0;250+;250;Other;Other;Sakicha;Internasional;200
Kopi Arabika GAYO ACEH - Biji / Black Bean / Caramel Roast Bean;83900;0;83900;Medan;pauziah;5.0;500+;500;Arabika;Other;Gayo;Lokal;Other
Kopi Robusta Gayo Aceh Sumatra Coffee Beans Espresso Roast Biji Bubuk;29900;46;54900;Bekasi;Sakha Coffee Roastery;5.0;250+;250;Robusta;Other;Gayo;Lokal;Other
Kopi Arabica Sigarar Utang Filter Roasted Beans Manual Brew 200gr;85500;5;90000;Bandung;Wheels Coffee Roasters;4.9;100+;100;Arabika;Other;Other;Other;200
Arabika Garut Papandayan 200 gr Roast Bean Coffee - Kopi biji matang;79900;3;82000;Depok;TADI PAGI ROASTERY;4.9;500+;500;Arabika;Other;Garut;Lokal;200
Biji Kopi Bubuk Fine Robusta Gayo Aceh Sumatra Coffee Roast Bean 250Gr;45999;23;59900;Bekasi;Sakha Coffee Roastery;5.0;1 rb+;1000;Robusta;Other;Gayo;Lokal;250
Opal Coffee - Flores Robusta Roasted Beans 250g;42000;17;50400;Jakarta Pusat;Opal Coffee Official Store;4.9;250+;250;Robusta;Other;Flores;Lokal;Other
KOPI ARABIKA BALI KINTAMANI 250g ROASTED BEAN SANGRAI - BIJI-BUBUK;72000;10;80000;Kab. Badung;INDISCHE COFFEE OFFICIAL;5.0;500+;500;Arabika;Other;Bali;Lokal;Other
Kopi Arabika Gayo Aceh Arabica Coffee Roast Bean 100g Biji Bubuk Coffe;44900;29;62999;Bekasi;Second Step Coffee;4.9;1 rb+;1000;Arabika;Other;Gayo;Lokal;Other
Relaxing Latimojong 200g | roasted beans specialty coffee biji kopi;140000;0;140000;Jakarta Barat;Gustavo Coffee Roastery;5.0;40+;40;Other;Other;Latimojong;Lokal;Other
Opal Coffee - Gayo Arabica Roasted Beans 250g - Reguler,  Whole Beans;69000;13;79350;Jakarta Pusat;Opal Coffee Official Store;5.0;750+;750;Arabika;Other;Gayo;Lokal;Other
Roasted Bean Dia Blend Tuang Coffee (Full Arabica) 1kg - Biji Kopi;208000;10;230000;Jakarta Selatan;Tuang Coffee;5.0;750+;750;Blend;Other;Flores;Lokal;1000
Roasted Bean Premium Arabica Washed Tuang Coffee 1kg - Biji Kopi;192000;0;192000;Jakarta Selatan;Tuang Coffee;5.0;5 rb+;5000;Arabika;Wash;Flores;Lokal;1000
Roasted Bean Premium Arabica Washed Tuang Coffee 250gr - Biji Kopi.;58827;38;95000;Jakarta Selatan;Tuang Coffee;4.9;5 rb+;5000;Arabika;Wash;Flores;Lokal;250
Biji Kopi Aceh Gayo Arabika ROASTED BEANS 500G;104500;5;110000;Kab. Aceh Tengah;Toko Kopi Gayo;5.0;100+;100;Arabika;Other;Gayo;Lokal;Other
Biji Kopi Arabika Papandayan Hybrid Filter Roast - Constant Beans - Whole Beans;115000;0;115000;Jakarta Selatan;Constant Beans;5.0;8;8;Arabika;Other;Papandayan;Lokal;Other
Colombia El Diviso Geisha (Filter Roast) - Specialty Coffee Bean;192000;20;240000;Jakarta Barat;angan coffee co.;5.0;5;5;Other;Other;Colombia el diviso;Internasional;Other
"Biji/Bubuk Kopi Temanggung Fine Bean 100 gram ""Italian Roast"" - Biji";19500;0;19500;Tangerang;marisruput;5.0;8;8;Other;Other;Temanggung;Lokal;100
Roasted Bean Dia Blend Tuang Coffee (Full Arabica) 1kg;208000;10;230000;Jakarta Selatan;Tuang Coffee;5.0;750+;750;Blend;Other;Flores;Lokal;1000
